Name,Institute
Ritesh Agarwal,University of Pennsylvania
Hiroki Ago,Kyushu University
Jong hyun Ahn,Yonsei University
Deji Akinwande,University of Texas at Austin
Nasim Alem,The Pennsylvania State University
Pablo Ares,Autonomous University of Madrid
Ahmet Avsar,National University of Singapore
Claudia Backes,University of Kassel
Zakaria Al Balushi,"UC Berkeley and Lawrence Berkeley National Labs"
Sanjay Behura,San Diego State University
Deepnarayan Biswas,Diamond Light Source
Ageeth Bol,University of Michigan
Radha Boya,University of Manchester
Stela Canulescu,Technical University of Denmark
Cinzia Casiraghi,University of Manchester
Yang Chai,The Hong Kong Polytechnic University
U. Chandni,Indian Institute of Science
Alexey Chernikov,TU Dresden
Suyeon Cho,EWHA Womans University
Tanushree H. Choudhury,Indian Institute of Technology Bombay
Jonathan N Coleman,Trinity College Dublin
Saptarshi Das,Pennsylvania State University
Saroj P. Dash,Chalmers University of Technology
Hui Deng,University of Michigan
Xidong Duan,Hunan University
Goki Eda,National University of Singapore
David Estrada,Boise State University
Andrea Ferrari,University of Cambridge
Alicia Forment-Aliaga,University of Valencia
Su-Hyun Gong,Korea University
Roman Gorbachev,University of Manchester
Tibor Grasser,Vienna University of Technology
Andrew Graves,Pennsylvania State University
Benjamin Groven,Interuniversity Microelectronics Centre
Antonija Grubisic-Cabo,University of Groningen
Arindam Ghosh,Indian Institute of Science
Yimo Han,Rice University
Mark Hersam,Northwestern University
Stephan Hofmann,University of Cambridge
Alexander Holleitner,Technical University of Munich
Seong-Ju Hwang,Yonsei University
Seongil Im,Yonsei University
Yuki Itahashi,The University of Tokyo
Deep Jariwala,University of Pennsylvania
Min-Kyu Joo,Sookmyung Women's University
Ute Kaiser,University of Ulm
Joohoon Kang,Yonsei University
Kibum Kang,Korea Advanced Institute of Science and Technology
Thomas Kempa,Johns Hopkins University
Ki Kang Kim,Sungkyunkwan University
Soo Min Kim,Sookmyung Women's University
Theresia Knobloch,Vienna University of Technology
Maciej Koperski,National University of Singapore
Mario Lanza,National University of Singapore
Daniel Lau,The Hong Kong Polytechnic University
Chul Ho Lee,Seoul National University
Haeyeon Lee,Rice University
Gwan-Hyoung Lee,Seoul National University
Seoung-Ki Lee,Pusan National University
Takhee Lee,Seoul National University
Miao-Ling Lin,Chinese Academy of Sciences
Bilu Liu,Tsinghua University
Chunsen Liu,Fudan University
Fang Liu,Stanford University
Saurabh Lodha,Indian Institute of Technology Bombay
Kian Ping Loh,National University of Singapore
Yu Jung Lu,"Academia Sinica, Taiwan"
Zhengtang Luo,Hong Kong University of Science and Technology
Thuc Hue Ly,City University of Hong Kong
Priya Mahadevan,S.N. Bose National Centre for Basic Sciences
Kausik Majumdar,Indian Institute of Science
Andrew Mannix,Stanford University
Kazunari Matsuda,Kyoto University
Cecilia Mattevi,Imperial College London
Adina Luican Mayer,University of Ottawa
Feng Miao,Nanjing University
Yasumitsu Miyata,Tokyo Metropolitan University
Christopher Muratore,University of Dayton
Kosuke Nagashio,The University of Tokyo
Yasir Noori, University of Southampton
Stuart Parkin,Max Planck Institute of Microstructure Physics
Jiang Pu,Tokyo Institute of Technology
Su Ying Quek,National University of Singapore
Daniel Rhodes,University of Wisconsin Madison
Archana Raja,Lawrence Berkeley National Laboratory
Akshay Rao,University of Cambridge
John Robertson,University of Cambridge
Sunmin Ryu,Pohang University of Science and Technology
Prasana Sahoo,Indian Institute of Technology Kharagpur
Paolo Samori,Strasbourg University
Soumya Sarkar,University of Southampton
P James Schuck,Columbia University
Akshay Singh,Indian Institute of Science
Wooyoung Shim,Yonsei University
Hyeon Jin Shin,Gwangju Institute of Science and Technology
Jagoda Slawinska,University of Groningen
Zdenek Sofer,University of Chemistry and Technology Prague
Seunguk Song,Sungkyunkwan University 
Xiuju Song,Zhejiang University
Yasufumi Takahashi,Nagoya University
Yukiko Takamura,Japan Advanced Institute of Science and Technology
Alexander Tartakovskii,University of Sheffield
Klaas-Jan Tielrooij,Eindhoven University of Technology
Vincent Tung,The University of Tokyo
Yi Wan,National University of Singapore
Lili Wang, Tsinghua University
Yan Wang,University of Cambridge
Ye Wang, University of Manchester
Yue Wang,University of York
Ursula Wurstbauer,University of Münster
Lilia Xie,Princeton University
Jianbin Xu,The Chinese University of Hong Kong
Mingsheng Xu,Zhejiang University
Yang Xu,Zhejiang University
Heejun Yang,Korea Advanced Institute of Science & Technology
Jieun Yang,Kyung Hee University
Ziliang Ye,The University of British Columbia
Jinkyoung Yoo,Los Alamos National Lab
Zhiyuan Zeng,City University of Hong Kong
Jiong Zhao,The Hong Kong Polytechnic University
Hua Zhang,City University of Hong Kong
Yanfeng Zhang,Peking University
Peng Zhou,Fudan University
